Plant ID;Date (start);Meter;Interval;Value
BRIY;01/03/2023;Utility Statement;Monthly;1611807.41667
BRIY;01/04/2023;Utility Statement;Monthly;949392.33333
BRIY;01/05/2023;Utility Statement;Monthly;915149.83333
BRIY;01/06/2023;Utility Statement;Monthly;585947.33333
BTS1;01/01/2023;Utility Statement;Monthly;3699372.33333
BTS1;01/02/2023;Utility Statement;Monthly;1986789.5
BTS1;01/03/2023;Utility Statement;Monthly;3935106.83333
BTS1;01/04/2023;Utility Statement;Monthly;2197709.16667
BTS1;01/05/2023;Utility Statement;Monthly;2206216.83333
BTS1;01/06/2023;Utility Statement;Monthly;1324932.41667
BTS2;01/01/2023;Utility Statement;Monthly;3034336.83333
BTS2;01/02/2023;Utility Statement;Monthly;1887287.16667
BTS2;01/03/2023;Utility Statement;Monthly;3801286.83333
BTS2;01/04/2023;Utility Statement;Monthly;2096584.0
BTS2;01/05/2023;Utility Statement;Monthly;1987324.0
BTS2;01/06/2023;Utility Statement;Monthly;1160603.16667
BVER;01/01/2023;Utility Statement;Monthly;2004743.16667
BVER;01/02/2023;Utility Statement;Monthly;1125063.5
BVER;01/03/2023;Utility Statement;Monthly;2636963.5
BVER;01/04/2023;Utility Statement;Monthly;1996131.41667
BVER;01/05/2023;Utility Statement;Monthly;1589164.91667
BVER;01/06/2023;Utility Statement;Monthly;1165588.66667
CAMB;01/01/2023;Utility Statement;Monthly;4503031.5
CAMB;01/02/2023;Utility Statement;Monthly;2762890.33333
CAMB;01/03/2023;Utility Statement;Monthly;3085208.41667
CAMB;01/04/2023;Utility Statement;Monthly;3126812.75
CAMB;01/05/2023;Utility Statement;Monthly;3533665.66667
CAMB;01/06/2023;Utility Statement;Monthly;2135494.33333
CARN;01/01/2023;Utility Statement;Monthly;7361415.66667
CARN;01/02/2023;Utility Statement;Monthly;4345227.16667
CARN;01/03/2023;Utility Statement;Monthly;5684955.16667
CARN;01/04/2023;Utility Statement;Monthly;3793691.16667
CARN;01/05/2023;Utility Statement;Monthly;3359732.75
CARN;01/06/2023;Utility Statement;Monthly;2436138.91667
