Plant ID;Excedance Probability;Forcast Type;January;February;March;April;May;June;July;August;September;October;November;December;Scenario;Source
HHH1;P50;Generation;533745000.0;485431000.0;431996000.0;348851000.0;333184000.0;268754000.0;235729000.0;309394000.0;369843000.0;427801000.0;499000000.0;579317000.0;Management Case;RDL 2023
HHH2;P50;Generation;1157247000.0;1014235000.0;911028000.0;705744000.0;692079000.0;539154000.0;476406000.0;632381000.0;746259000.0;844571000.0;971810000.0;1210086000.0;Management Case;RDL 2023
JADE;P50;Generation;2820000000.0;2160000000.0;2190000000.0;2487500000.0;2030000000.0;1847500000.0;1695000000.0;1420000000.0;1495000000.0;2150000000.0;2042500000.0;2662500000.0;Management Case;RDL 2023
JADE;P75;Generation;2711432200.0;2076841680.0;2105686710.0;2391733190.0;1951846580.0;1776372690.0;1629743820.0;1365331110.0;1437443670.0;2067226680.0;1963865340.0;2559995830.0;Management Case;RDL 2023
JADE;P90;Generation;2613801600.0;2002060800.0;2029867200.0;2305614000.0;1881566400.0;1712410800.0;1571061600.0;1316169600.0;1385685600.0;1992792000.0;1893152400.0;2467818000.0;Management Case;RDL 2023
JAVI;P50;Generation;4011751500.0;3678354800.0;3729646600.0;2989579200.0;2722129100.0;2190892600.0;2110291200.0000002;2029689800.0;2297139900.0;3143454600.0;3627063000.0;4110671400.0;Management Case;RDL 2023
JAVI;P75;Generation;4011751500.0;3678354800.0;3729646600.0;2989579200.0;2722129100.0;2190892600.0;2110291200.0000002;2029689800.0;2297139900.0;3143454600.0;3627063000.0;4110671400.0;Management Case;RDL 2023
JAVI;P90;Generation;3426036000.0;3141315200.0;3185118400.0;2553100800.0;2324698400.0;1871022400.0;1802188800.0;1733355200.0;1961757600.0;2684510400.0;3097512000.0;3510513600.0;Management Case;RDL 2023
JON2;P50;Generation;1518296000.0;1445301000.0;1401504000.0;1240915000.0;1182519000.0;992732000.0;1094925000.0;940175600.0;953314700.0;1070106700.0;1386905000.0;1372306000.0;Management Case;RDL 2023
JON2;P75;Generation;1406704000.0;1339074000.0;1298496000.0;1149710000.0;1095606000.0;919768000.0;1014450000.0;871074400.0;883247800.0;991455800.0;1284970000.0;1271444000.0;Management Case;RDL 2023
JONC;P50;Generation;3251835250.0;3146608750.0;3659163250.0;2498278500.0;2678181500.0;2311586500.0;2304797500.0;2562772000.0;2202965500.0;2800380000.0;3516598500.0;3010832750.0;Management Case;RDL 2023
JONC;P75;Generation;2977212570.0;2880872620.0;3350141070.0;2287294890.0;2452004800.0;2116369330.0;2110153670.0;2346341810.0;2016921550.0;2563883440.0;3219616140.0;2756563120.0;Management Case;RDL 2023
KIRK;P50;Generation;377820000.0;325390000.0;329047000.0;259524000.0;236893000.0;178489000.0;163810000.0;206575000.0;272704000.0;311298000.0;361952000.0;416328000.0;Management Case;RDL 2023
LANE;P50;Generation;1903898000.0;1865043000.0;1779238000.0;1199650000.0;1076609000.0;809480440.0;895285380.0;846716560.0;969757560.0;1434399380.0;1510490500.0;1899041120.0;Management Case;RDL 2023
LANE;P75;Generation;1834207180.0;1796774440.0;1714110270.0;1155737670.0;1037200500.0;779849990.0;862514100.0;815723110.0;934260280.0;1381894220.0;1455200080.0;1829528080.0;Management Case;RDL 2023
LANG;P50;Generation;1973319000.0;1649759000.0;1628277000.0;1180768000.0;1231712000.0;855994000.0;960654000.0;1248677000.0;1353784000.0;1626342000.0;1822259000.0;2228455000.0;Management Case;RDL 2023
LAPI;P50;Generation;2120315250.0;2098456250.0;1792431500.0;1989161750.0;1748713620.0;1442688750.0;1748713620.0;1879867120.0;1486406500.0;1770572500.0;1989161750.0;1792431500.0;Management Case;RDL 2023
LAPI;P75;Generation;1961448530.0;1941227340.0;1658131790.0;1840121830.0;1617689520.0;1334593870.0;1617689520.0;1739016210.0;1375036020.0;1637910600.0;1840121830.0;1658131790.0;Management Case;RDL 2023
LBDF;P50;Generation;2178281250.0;2038647750.0;1831990380.0;1431707880.0;1279042000.0;951368940.0;1094725880.0;1005360620.0;1185953120.0;1604853380.0;1960453120.0;2055403750.0;Management Case;RDL 2023
LBDF;P75;Generation;2103426049.9999998;1968590970.0;1769035240.0;1382508180.0;1235088570.0;918675770.0;1057106350.0000001;970812070.0;1145198620.0;1549703650.0;1893083440.0;1984771160.0;Management Case;RDL 2023
LDTE;P50;Generation;2302674000.0;2108185250.0;1772416750.0;1383439250.0;1238490000.0;1075192750.0;1058679620.0000001;1001800810.0;1163263250.0;1381604380.0;1765077620.0;2097176500.0;Management Case;RDL 2023
LDTE;P75;Generation;2181943000.0;1997651450.0;1679487550.0;1310904450.0;1173555000.0;1018819550.0;1003172220.0;949275610.0;1102272450.0;1309165780.0;1672533220.0;1987219890.0;Management Case;RDL 2023
LEPI;P50;Generation;2262700000.0;2019600000.0;1701700000.0;1645600000.0;1327700000.0;1028500000.0;1028500000.0;935000000.0;1271600000.0;1739100000.0;1683000000.0;2057000000.0;Management Case;RDL 2023
LEPI;P75;Generation;2202200000.0;1965600000.0;1656200000.0;1601600000.0;1292200000.0;1001000000.0;1001000000.0;910000000.0;1237600000.0;1692600000.0;1638000000.0;2002000000.0;Management Case;RDL 2023
LERO;P50;Generation;833599060.0;779979880.0;702053380.0;550489940.0;492581250.0;368184840.0;422518910.0;388202660.0;456835160.0;615547810.0;751383000.0;787844060.0;Management Case;RDL 2023
LERO;P75;Generation;804889810.0;753117280.0;677874580.0;531531000.0;475616690.0;355504510.0;407967310.0;374832910.0;441101700.0;594348270.0;725505280.0;760710620.0;Management Case;RDL 2023
LGPK;P50;Generation;9040884000.0;7333645000.0;7784743000.0;5965621000.0;5511464000.0;4214152000.0;4141806000.0;5131381000.0;6201844000.0;7071636000.0;7905021000.0;9697803000.0;Management Case;RDL 2023
