Plant ID;Date (start);Interval;Meter;Value
ROUS;01/04/2022;Monthly;Production;2680026.565
ROUS;01/05/2022;Monthly;Production;1974819.953
ROUS;01/06/2022;Monthly;Production;1173369.625
ROUS;01/07/2022;Monthly;Production;1703691.905
ROUS;01/08/2022;Monthly;Production;1624810.844
ROUS;01/09/2022;Monthly;Production;1900653.452
ROUS;01/10/2022;Monthly;Production;4141087.49
ROUS;01/11/2022;Monthly;Production;4401757.156
ROUS;01/12/2022;Monthly;Production;4713389.463
ROUS;01/01/2023;Monthly;Production;3387705.053
ROUS;01/02/2023;Monthly;Production;2662232.947
ROUS;01/03/2023;Monthly;Production;4408069.816
ROUS;01/04/2023;Monthly;Production;3084424.794
ROUS;01/05/2023;Monthly;Production;2761339.642
ROUS;01/06/2023;Monthly;Production;1224551.992
ROUS;01/07/2023;Monthly;Production;1597312.328
ROUS;01/01/2022;Monthly;Wind Speed;4.88
ROUS;01/02/2022;Monthly;Wind Speed;5.5248
ROUS;01/03/2022;Monthly;Wind Speed;5.7878
ROUS;01/04/2022;Monthly;Wind Speed;4.9698
ROUS;01/05/2022;Monthly;Wind Speed;4.2226
ROUS;01/06/2022;Monthly;Wind Speed;3.9684
ROUS;01/07/2022;Monthly;Wind Speed;4.072
ROUS;01/08/2022;Monthly;Wind Speed;4.1348
ROUS;01/09/2022;Monthly;Wind Speed;4.7072
ROUS;01/10/2022;Monthly;Wind Speed;6.1572
ROUS;01/11/2022;Monthly;Wind Speed;6.1282
ROUS;01/12/2022;Monthly;Wind Speed;6.281
ROUS;01/01/2023;Monthly;Wind Speed;6.304
ROUS;01/02/2023;Monthly;Wind Speed;4.8778
ROUS;01/03/2023;Monthly;Wind Speed;6.3244
ROUS;01/04/2023;Monthly;Wind Speed;5.3792
ROUS;01/05/2023;Monthly;Wind Speed;5.0752
ROUS;01/06/2023;Monthly;Wind Speed;3.8856
ROUS;01/07/2023;Monthly;Wind Speed;4.4202
ROUS;01/01/2022;Monthly;Wind Theoretical Production;3180605.007
ROUS;01/02/2022;Monthly;Wind Theoretical Production;3602837.723
ROUS;01/03/2022;Monthly;Wind Theoretical Production;4322806.309
ROUS;01/04/2022;Monthly;Wind Theoretical Production;2994309.123
ROUS;01/05/2022;Monthly;Wind Theoretical Production;2209746.803
ROUS;01/06/2022;Monthly;Wind Theoretical Production;1850729.513
ROUS;01/07/2022;Monthly;Wind Theoretical Production;2248870.052
ROUS;01/08/2022;Monthly;Wind Theoretical Production;2164459.273
ROUS;01/09/2022;Monthly;Wind Theoretical Production;2809941.683
ROUS;01/10/2022;Monthly;Wind Theoretical Production;4976334.847
ROUS;01/11/2022;Monthly;Wind Theoretical Production;4688879.652
ROUS;01/12/2022;Monthly;Wind Theoretical Production;4942419.389
ROUS;01/01/2023;Monthly;Wind Theoretical Production;4801284.343
ROUS;01/02/2023;Monthly;Wind Theoretical Production;2783207.259
ROUS;01/03/2023;Monthly;Wind Theoretical Production;5138836.845
ROUS;01/04/2023;Monthly;Wind Theoretical Production;3386656.734
ROUS;01/05/2023;Monthly;Wind Theoretical Production;3174790.675
ROUS;01/06/2023;Monthly;Wind Theoretical Production;1655737.075
ROUS;01/07/2023;Monthly;Wind Theoretical Production;2316892.785
