Plant ID;datetime;Value;meter;date;Date (start);Meter;Interval
FITO;01/01/2023;3541805.5;FITO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CEFF;01/01/2023;2861215.5;CEFF-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
FOSS;01/01/2023;755744.5;FOSS-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
FREY;01/01/2023;2982537.1666666665;FREY-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GAB1;01/01/2023;383548.8333333333;GAB1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GAB4;01/01/2023;382326.6666666667;GAB4-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GAB7;01/01/2023;73345.0;GAB7-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GABT;01/01/2023;72570.16666666667;GABT-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GAR1;01/01/2023;3003693.6666666665;GAR1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GAR2;01/01/2023;2742946.8333333335;GAR2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GRGT;01/01/2023;429087.8333333333;GRGT-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GRPL;01/01/2023;3509592.3333333335;GRPL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GUIL;01/01/2023;2573590.0;GUIL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
GUIL;01/01/2023;3862014.0;GUIL-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
HENI;01/01/2023;1896097.8333333333;HENI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
HERO;01/01/2023;1057895.5;HERO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
JADE;01/01/2023;2495177.5;JADE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
JON2;01/01/2023;1181021.8333333333;JON2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
JONC;01/01/2023;3314674.3333333335;JONC-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LBDF;01/01/2023;2087772.3333333333;LBDF-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CARN;01/01/2023;3727373.8333333335;CARN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CARN;01/01/2023;3634041.8333333335;CARN-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
HAB1;01/01/2023;3635592.3333333335;HAB1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
HAB2;01/01/2023;3063836.0;HAB2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NOUR;01/01/2023;1888186.6666666667;NOUR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LAPI;01/01/2023;2476806.8333333335;LAPI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LAGN;01/01/2023;88057.5;LAGN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LDTE;01/01/2023;1814138.1666666667;LDTE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LANE;01/01/2023;2788928.8333333335;LANE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RODU;01/01/2023;1264939.3333333333;RODU-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LERO;01/01/2023;882426.5;LERO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
COT1;01/01/2023;3235301.5;COT1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
COT2;01/01/2023;3436064.5;COT2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
COT3;01/01/2023;3178551.0;COT3-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
COT4;01/01/2023;2303904.0;COT4-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LEMO;01/01/2023;4074005.5;LEMO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLOS;01/01/2023;2712188.0;PLOS-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SABL;01/01/2023;2917553.5;SABL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
FAYD;01/01/2023;1285688.1666666667;FAYD-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LOMO;01/01/2023;2106522.5;LOMO-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LOMO;01/01/2023;2174432.0;LOMO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LEPI;01/01/2023;2466411.6666666665;LEPI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
