Plant ID;Date (start);Interval;Meter;Value
MACH;01/08/2022;Monthly;Consumption;738.053
TRAY;01/08/2022;Monthly;Consumption;-3208.662
LBDF;01/09/2022;Monthly;Consumption;-9985.378
LDTE;01/09/2022;Monthly;Consumption;-3123.259
MACH;01/09/2022;Monthly;Consumption;4019.754
TRAY;01/09/2022;Monthly;Consumption;10257.715
LBDF;01/10/2022;Monthly;Consumption;-8735.828
LDTE;01/10/2022;Monthly;Consumption;-2912.307
MACH;01/10/2022;Monthly;Consumption;1383.751
TRAY;01/10/2022;Monthly;Consumption;5412.942
LBDF;01/11/2022;Monthly;Consumption;-6132.637
LDTE;01/11/2022;Monthly;Consumption;-1726.991
MACH;01/11/2022;Monthly;Consumption;-714.438
TRAY;01/11/2022;Monthly;Consumption;-1024.959
LBDF;01/12/2022;Monthly;Consumption;11049.406
LDTE;01/12/2022;Monthly;Consumption;-1297.005
MACH;01/12/2022;Monthly;Consumption;-493.298
TRAY;01/12/2022;Monthly;Consumption;3391.018
LBDF;01/01/2023;Monthly;Consumption;-2377.115
LDTE;01/01/2023;Monthly;Consumption;0.0
MACH;01/01/2023;Monthly;Consumption;668.389
TRAY;01/01/2023;Monthly;Consumption;12594.909
LBDF;01/02/2023;Monthly;Consumption;-8192.69
LDTE;01/02/2023;Monthly;Consumption;0.0
MACH;01/02/2023;Monthly;Consumption;-813.321
TRAY;01/02/2023;Monthly;Consumption;18244.197
LBDF;01/03/2023;Monthly;Consumption;8045.123
LDTE;01/03/2023;Monthly;Consumption;0.0
MACH;01/03/2023;Monthly;Consumption;22509.44
TRAY;01/03/2023;Monthly;Consumption;607.523
LBDF;01/04/2023;Monthly;Consumption;-3426.524
LDTE;01/04/2023;Monthly;Consumption;0.0
MACH;01/04/2023;Monthly;Consumption;-778.712
TRAY;01/04/2023;Monthly;Consumption;-1448.891
LBDF;01/05/2023;Monthly;Consumption;1893.804
LDTE;01/05/2023;Monthly;Consumption;0.0
MACH;01/05/2023;Monthly;Consumption;731.338
TRAY;01/05/2023;Monthly;Consumption;1765.661
LBDF;01/06/2023;Monthly;Consumption;-5907.277
LDTE;01/06/2023;Monthly;Consumption;0.0
MACH;01/06/2023;Monthly;Consumption;118.357
TRAY;01/06/2023;Monthly;Consumption;-2703.366
LBDF;01/07/2023;Monthly;Consumption;-9778.889
LDTE;01/07/2023;Monthly;Consumption;0.0
MACH;01/07/2023;Monthly;Consumption;-1781.377
TRAY;01/07/2023;Monthly;Consumption;-1305.892
LBDF;01/01/2022;Monthly;Gross Generation;1009509.813
LDTE;01/01/2022;Monthly;Gross Generation;871954.58
MACH;01/01/2022;Monthly;Gross Generation;1231990.935
TRAY;01/01/2022;Monthly;Gross Generation;1063981.198
LBDF;01/02/2022;Monthly;Gross Generation;1934797.104
LDTE;01/02/2022;Monthly;Gross Generation;1510457.007
MACH;01/02/2022;Monthly;Gross Generation;1662471.242
TRAY;01/02/2022;Monthly;Gross Generation;1613750.845
LBDF;01/03/2022;Monthly;Gross Generation;1563606.988
LDTE;01/03/2022;Monthly;Gross Generation;1446306.969
MACH;01/03/2022;Monthly;Gross Generation;1675686.363
TRAY;01/03/2022;Monthly;Gross Generation;1490695.802
LBDF;01/04/2022;Monthly;Gross Generation;1391241.088
LDTE;01/04/2022;Monthly;Gross Generation;1548251.495
MACH;01/04/2022;Monthly;Gross Generation;1048864.317
TRAY;01/04/2022;Monthly;Gross Generation;1283578.03
LBDF;01/05/2022;Monthly;Gross Generation;761614.351
LDTE;01/05/2022;Monthly;Gross Generation;1026237.672
MACH;01/05/2022;Monthly;Gross Generation;651524.506
TRAY;01/05/2022;Monthly;Gross Generation;634330.544
LBDF;01/06/2022;Monthly;Gross Generation;1014131.518
LDTE;01/06/2022;Monthly;Gross Generation;1280756.116
MACH;01/06/2022;Monthly;Gross Generation;583995.893
TRAY;01/06/2022;Monthly;Gross Generation;493045.959
LBDF;01/07/2022;Monthly;Gross Generation;735701.193
LDTE;01/07/2022;Monthly;Gross Generation;1047589.063
MACH;01/07/2022;Monthly;Gross Generation;779802.933
TRAY;01/07/2022;Monthly;Gross Generation;731738.859
LBDF;01/08/2022;Monthly;Gross Generation;978581.488
LDTE;01/08/2022;Monthly;Gross Generation;1404969.242
MACH;01/08/2022;Monthly;Gross Generation;750253.385
TRAY;01/08/2022;Monthly;Gross Generation;714664.632
LBDF;01/09/2022;Monthly;Gross Generation;999794.763
LDTE;01/09/2022;Monthly;Gross Generation;1110542.702
MACH;01/09/2022;Monthly;Gross Generation;891118.006
TRAY;01/09/2022;Monthly;Gross Generation;784102.609
LBDF;01/10/2022;Monthly;Gross Generation;1235107.976
LDTE;01/10/2022;Monthly;Gross Generation;1482688.845
