Date (start);Interval;Meter;Value;Plant ID
01/01/2023;Monthly;Availability;98.90362;CHPI-ECP001-METER001
01/01/2023;Monthly;Availability;90.35246;FIEN-ECP001-METER001
01/01/2023;Monthly;Availability;55.11292;JAVI-ECP001-METER001
01/01/2023;Monthly;Availability;50.0;JONC-ECP001-METER001
01/01/2023;Monthly;Availability;99.85104;ROUS-ECP0001-METER001
01/01/2023;Monthly;Availability;98.13424;VARA-ECP001-METER001
01/02/2023;Monthly;Availability;98.35998;ANPA-ECP001-METER001
01/02/2023;Monthly;Availability;99.62836;BVER-ECP001-METER001
01/02/2023;Monthly;Availability;99.15977;CHPI-ECP001-METER001
01/02/2023;Monthly;Availability;97.69743;FIEN-ECP001-METER001
01/02/2023;Monthly;Availability;99.95567;JAVI-ECP001-METER001
01/02/2023;Monthly;Availability;50.0;JONC-ECP001-METER001
01/02/2023;Monthly;Availability;99.63944;ROUS-ECP0001-METER001
01/02/2023;Monthly;Availability;98.90217;VARA-ECP001-METER001
01/03/2023;Monthly;Availability;99.6506;ANPA-ECP001-METER001
01/03/2023;Monthly;Availability;99.66839;BVER-ECP001-METER001
01/03/2023;Monthly;Availability;99.04872;CHPI-ECP001-METER001
01/03/2023;Monthly;Availability;99.74568;FIEN-ECP001-METER001
01/03/2023;Monthly;Availability;97.45188;JAVI-ECP001-METER001
01/03/2023;Monthly;Availability;80.56008;JONC-ECP001-METER001
01/03/2023;Monthly;Availability;99.57852;ROUS-ECP0001-METER001
01/03/2023;Monthly;Availability;99.50145;VARA-ECP001-METER001
01/04/2023;Monthly;Availability;98.81288;ANPA-ECP001-METER001
01/04/2023;Monthly;Availability;99.47744;BVER-ECP001-METER001
01/04/2023;Monthly;Availability;98.14759;CHPI-ECP001-METER001
01/04/2023;Monthly;Availability;99.50341;FIEN-ECP001-METER001
01/04/2023;Monthly;Availability;98.21628;JAVI-ECP001-METER001
01/04/2023;Monthly;Availability;96.15213;JONC-ECP001-METER001
01/04/2023;Monthly;Availability;95.68162;ROUS-ECP0001-METER001
01/04/2023;Monthly;Availability;99.6818;VARA-ECP001-METER001
01/05/2023;Monthly;Availability;94.67607;ANPA-ECP001-METER001
01/05/2023;Monthly;Availability;97.0461;BVER-ECP001-METER001
01/05/2023;Monthly;Availability;98.58326;CHPI-ECP001-METER001
01/05/2023;Monthly;Availability;99.77793;FIEN-ECP001-METER001
