date,project,act_energy_consumption,act_energy_generation,act_energy_iec,act_energy,act_prod_iec_revenue,duration_full_perf,duration_no_full_perf,duration_running,gained_energy_iec_consolidated,gained_energy_iec_PC,gained_prod_iec_revenue,line_count,lost_energy_iec_consolidated,lost_energy_iec_PC,lost_prod_iec_revenue,pot_energy_iec_consolidated,pot_energy_iec_consolidated_when_avail,pot_energy_PC,pot_energy_PC_when_avail,pot_prod_iec_revenue,rr_act_power_iec_pot_power_iec_consolidated,rr_act_power_iec,rr_pot_power_iec_consolidated,rr_wind_speed_act_power_iec,rr_wind_speed,wind_speed_avg,monthly_asset_act_energy_iec_not_excluded,monthly_asset_duration,monthly_asset_gained_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_contractor,monthly_asset_lost_energy_iec_consolidated_excluded,monthly_asset_lost_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_owner,monthly_asset_pot_energy_iec_consolidated_not_excluded,act_energy_windga,wind_speed_avg_windga,act_prod_iec_revenue_windga,pba_owner_windga,monthly_asset_contract_availability_windga,tba_iec_op_windga,pba_edf_om,pba_iec_op,pba_management,pba_owner,tba_iec_om,tba_iec_op,monthly_asset_contract_availability,monthly_asset_contract_pba,monthly_asset_contract_tba,act_energy_coverage,wind_speed_avg_coverage,act_prod_iec_revenue_coverage,pba_owner_coverage,monthly_asset_contract_availability_coverage,tba_iec_op_coverage
2022-05-01,ALLA,"-6652,366","1534515,1300000001","1534515,1300000001","1527862,764","140423,476","9501361,459999999","1212238,54","10489220,35","37511,123999999996","24907,127","3432,674","17856,0","154630,286","206878,894","14150,239","1651838,563","1626179,747","1713674,811","1699622,359","151159,713","0,99925","0,99925","1,0","0,9955","0,99625","6,24375","1534719,396","10713600,0","37511,125","42204,506","0,0","154630,287","23218,011","1651838,557",,,,,,,"0,9840841988641538","0,9591086004006041","0,9840844835843607","0,9591093315417637","0,9824788297117681","0,9790565589531063","0,9855896561554862",,"0,9855896561554862",1,1,1,1,1,1
2022-05-01,ALVI,"-8465,14","2141805,318","2141805,318","2133340,1780000003","180661,153","12408469,33","983530,67","13125217,27","105338,167","77054,027","8885,234","22320,0","322941,037","457006,962","27240,066","2361172,923","2329508,2290000003","2523603,835","2493816,209","199164,843","1,0","1,0","1,0","0,9997999999999999","0,9997999999999999","5,5896","2143570,051","13392000,0","105338,164","49797,392","0,0","322941,043","58683,093","2361172,934",,,,,,,"0,9863000878828132","0,951695346847907","0,9863276683355972","0,9517925754356213","0,9891125291218639","0,9800789478793309","0,9900243184059644",,"0,9900243184059644",1,1,1,1,1,1
2022-05-01,AMEL,"103,82499999999999","1083251,243","1083251,243","1083355,068","102659,658","7521424,34","5870575,66","11499351,0","14602,117","11118,538","1383,825","22320,0","354012,458","605361,603","33549,791","1422661,565","1215420,507","1677494,309","1368075,446","134825,62","1,0","1,0","1,0","1,0","1,0","5,6808","1083251,243","13392000,0","14602,131000000001","49306,083000000006","0,0","354012,46499999997","161171,169","1422661,576",,,,,,,"0,8390706883395401","0,8361306581371881","0,840228445057521","0,8373095660033515","0,8596378434886499","0,8586731630824372","0,9727902080195578",,"0,9727902080195578",1,1,1,1,1,1
2022-05-01,AUCO,"-606,205","885342,703","885342,703","884736,498","46922,971000000005","7504675,8549999995","8565724,145","7852808,381","7233,625","11758,126","383,36400000000003","26784,0","741159,092","714936,58","39281,236000000004","1643731,541","986112,068","1588521,152","979908,87","87117,409","0,9488333333333333","0,9488333333333333","1,0","0,9196666666666667","0,9196666666666667","6,276666666666666","909731,158","16070400,0","7233,628","42728,09","0,0","741159,086","644586,747","1643656,6090000002",,,,,,,"0,9017500757931558","0,5639156162243537","0,8999775336467067","0,5629596257715471","0,947600780076404","0,49428983917433267","0,9830346573977176",,"0,9830346573977176",1,1,1,1,1,1
2022-05-01,AUM3,"43936,291","945755,227","945755,227","989691,518","85883,986","5120274,86","13628525,14","5366624,88","21042,898","18458,532","1910,9250000000002","31248,0","1362130,844","1220902,737","123695,407","2293239,865","962887,133","2148199,433","970012,172","208249,364","0,9984285714285714","0,9984285714285714","1,0","0,9627142857142857","0,9627142857142857","5,904857142857144","951816,428","18748800,0","21042,9","164860,00900000002","0,0","1362466,31","1166992,99","2293239,84",,,,,,,"0,8349476543040981","0,4156940887991598","0,5638655808378004","0,4153016894244104","0,8430979085281247","0,28640329170669226","0,9320582645924863",,"0,9320582645924863",1,1,1,1,1,1
2022-05-01,AUQB,"-308,541","977035,517","977035,517","976726,976","51782,64","6462137,671","6929862,329","6829297,857","11325,909","29009,19","600,27","22320,0","466037,585","396828,616","24699,959","1452320,931","1064870,918","1344854,941","1021290,66","76972,685","0,9621999999999999","0,9621999999999999","1,0","0,9366","0,9366","6,3312","997561,521","13392000,0","11325,912","65265,619","0,0","466037,581","352928,121","1452273,186",,,,,,,"0,9616890300744485","0,7013264075003565","0,9599236877365902","0,7002687981185257","0,9624714880672063","0,5113858592554711","0,9677546620524398",,"0,9677546620524398",1,1,1,1,1,1
2022-05-01,BAMB,"-3670,482","737106,449","737106,449","733435,967","34275,571","10235879,493","5834520,507","10804094,135","8576,943","3715,3160000000003","398,813","26784,0","334752,536","354997,199","15566,104","1063282,038","865896,193","1088388,327","870516,875","49442,846","1,0","1,0","1,0","1,0","1,0","4,892166666666667","737106,449","16070400,0","8576,946","13337,634","0,0","334752,516","191102,49300000002","1063282,021","708007,0",,"32922,3","0,79305","0,97496","0,65039","0,9230634708196053","0,7828505218754995","0,9230695693005714","0,7828677345308309","0,9200560450891079","0,6722977732352649","0,9784519774865591",,"0,9784519774865591",1,1,1,1,1,1
2022-05-01,BARB,"0,0","1444837,69","1444837,69","1444837,69","143891,711","13439993,0","2630407,0","15588659,0","9583,321","5252,022","954,4580000000001","26784,0","298728,543","357970,48699999996","29750,528","1733982,913","1696805,113","1797556,155","1761236,971","172687,779","1,0","1,0","1,0","1,0","1,0","5,7485",,,,,,,,,,,,,,,"0,9988997672683803","0,8974093791694125","0,9989001051884095","0,8974408883443187","0,996592306352051","0,9700230859219434","0,0",,,1,1,1,1,1,1
2022-05-01,BDBS,"-14283,499","2269294,067","2269294,067","2255010,568","202716,036","22381161,66","4402838,34","22621574,740000002","58654,188","72636,275","5239,53","44640,0","268582,421","403469,225","23992,55","2487507,763","2325463,976","2600127,017","2465147,794","222209,195","0,9951000000000001","0,9951000000000001","1,0","0,9945","0,9945","5,2194","2277562,014","26784000,0","58653,674","15761,918","0,0","305801,473","184591,397","2524709,813",,,,,,,"0,994261829489997","0,9328846067387819","0,9923035242836625","0,93292548460845","0,984225801597969","0,8445928442353645","0,9924446344125136",,"0,9924446344125136",1,1,1,1,1,1
2022-05-01,BOUS,"109,603","675480,3","675480,3","675589,9029999999","99356,418","5521102,17","5192497,83","9532984,030000001","9450,357","12320,731","1039,546","17856,0","174135,926","225521,84900000002","19155,011","843362,877","772002,953","888681,419","822825,134","117823,55299999999","0,9884999999999999","0,9884999999999999","1,0","0,976","0,976","4,93275","678677,304","10713600,0","9450,356","79851,163","0,0","174135,953","3946,205","843362,9029999999",,,,,,,"0,9069509436432673","0,8883943331974937","0,9079522547201846","0,8896354282667134","0,8916659623068474","0,8905372555899453","0,908340289466383",,"0,908340289466383",1,1,1,1,1,1
