date,project,act_energy_consumption,act_energy_generation,act_energy_iec,act_energy,act_prod_iec_revenue,duration_full_perf,duration_no_full_perf,duration_running,gained_energy_iec_consolidated,gained_energy_iec_PC,gained_prod_iec_revenue,line_count,lost_energy_iec_consolidated,lost_energy_iec_PC,lost_prod_iec_revenue,pot_energy_iec_consolidated,pot_energy_iec_consolidated_when_avail,pot_energy_PC,pot_energy_PC_when_avail,pot_prod_iec_revenue,rr_act_power_iec_pot_power_iec_consolidated,rr_act_power_iec,rr_pot_power_iec_consolidated,rr_wind_speed_act_power_iec,rr_wind_speed,wind_speed_avg,monthly_asset_act_energy_iec_not_excluded,monthly_asset_duration,monthly_asset_gained_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_contractor,monthly_asset_lost_energy_iec_consolidated_excluded,monthly_asset_lost_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_owner,monthly_asset_pot_energy_iec_consolidated_not_excluded,act_energy_windga,wind_speed_avg_windga,act_prod_iec_revenue_windga,pba_owner_windga,monthly_asset_contract_availability_windga,tba_iec_op_windga,pba_edf_om,pba_iec_op,pba_management,pba_owner,tba_iec_om,tba_iec_op,monthly_asset_contract_availability,monthly_asset_contract_pba,monthly_asset_contract_tba,act_energy_coverage,wind_speed_avg_coverage,act_prod_iec_revenue_coverage,pba_owner_coverage,monthly_asset_contract_availability_coverage,tba_iec_op_coverage
2022-06-01,ALLA,"-7233,858","1223203,1570000001","1223203,1570000001","1215969,299","111935,331","8198439,51","2169560,49","8924532,53","32494,504","20939,577999999998","2973,562","17280,0","120178,639","144358,89","10997,509","1310887,2889999999","1260103,756","1346622,465","1311746,251","119959,26","1,0","1,0","1,0","0,8995","0,8995","5,9715","1223203,1570000001","10368000,0","32494,504999999997","39024,934","0,0","120178,63699999999","20418,114","1310887,287",,,,,,,"0,9700638768226203","0,9536474044328237","0,9620049123745499","0,9536559273150028","0,9623477266589506","0,8607766714891975","0,963577511424468",,"0,963577511424468",1,1,1,1,1,1
2022-06-01,ALVI,"-6847,5740000000005","2054788,253","2054788,253","2047940,679","173321,138","11777485,469999999","1182514,53","12605366,399999999","36635,788","15543,773000000001","3090,1980000000003","21600,0","390314,406","507569,825","32922,898","2452229,549","2410786,584","2594289,648","2574897,911","206845,191","0,9751999999999998","0,9751999999999998","1,0","0,9635999999999999","0,9884000000000001","5,637","2098550,921","12960000,0","36774,53","73274,417","0,0","390716,534","82893,046","2452492,922",,,,,,,"0,98279945538151","0,9294633813403224","0,982817049074402","0,9295355911852969","0,979373236882716","0,9726362962962962","0,9802872386483632",,"0,9802872386483632",1,1,1,1,1,1
2022-06-01,AMEL,"315,116","919064,044","919064,044","919379,16","87099,632","6965894,29","5994105,71","11658936,42","13004,767","9692,5","1232,472","21600,0","218776,493","399137,934","20733,443","1124835,754","1027647,512","1308509,4780000001","1167719,894","106600,596","0,9964000000000001","0,9964000000000001","1,0","0,9952","0,9952","5,1634","919064,044","12960000,0","13004,775","39642,637","0,0","218776,494","63679,69499999999","1124835,764",,,,,,,"0,9058191386789947","0,8980955701793911","0,9065996047136267","0,8989400405435178","0,9027698688271605","0,8996092916666667","0,972440307293595",,"0,972440307293595",1,1,1,1,1,1
2022-06-01,AUCO,"-1032,906","824598,339","824598,339","823565,433","43703,531","6508994,592","9043005,408","7575293,665999999","6203,626","8275,99","328,795","25920,0","825990,223","813970,6839999999","43777,36","1645059,0089999998","905050,774","1630293,029","930745,617","87187,818","0,9998333333333335","0,9998333333333335","1,0","0,9986666666666667","0,9986666666666667","6,354666666666667","825073,284","15552000,0","6203,626","83579,878","0,0","826136,2509999999","682992,613","1645005,903",,,,,,,"0,7905265256823997","0,519204480562821","0,7891092875121666","0,5182812619093838","0,8468869352385678","0,4874575543589098","0,9813210396359657",,"0,9813210396359657",1,1,1,1,1,1
2022-06-01,AUM3,"59956,86","749901,404","749901,404","809858,2640000001","68098,537","4504731,93","13639268,07","4786682,97","12277,515","11524,262","1114,943","30240,0","1570059,545","1484064,736","142577,337","2308954,347","769076,348","2222441,881","776802,254","209676,343","0,9992857142857143","0,9992857142857143","1,0","0,9621428571428571","0,9621428571428571","6,140857142857143","750972,622","18144000,0","12277,514","400931,69299999997","0,0","1570259,253","1140096,245","2308954,3619999997",,,,,,,"0,7804639438498507","0,327343928493908","0,5981407655274152","0,3273635588325629","0,7794017340785572","0,2638424761054337","0,8368095436550781",,"0,8368095436550781",1,1,1,1,1,1
2022-06-01,AUQB,"-555,062","736265,64","736265,64","735710,578","39021,891","4828163,255","8131836,745","6160123,234","8660,361","15960,839","459,009","21600,0","616256,882","611379,083","32661,637000000002","1344094,155","799031,747","1331683,882","783374,147","71236,824","0,9997999999999999","0,9997999999999999","1,0","0,9984","0,9984","6,311","736281,709","12960000,0","8660,36","104240,666","0,0","616472,822","466977,991","1344094,169",,,,,,,"0,73385128690802","0,5632659161746871","0,7337693204793146","0,5632092569651329","0,751106112500727","0,47549319526297223","0,9473154293975228",,"0,9473154293975228",1,1,1,1,1,1
2022-06-01,BAMB,"-3826,062","624222,368","624222,368","620396,306","29026,469","9731092,824000001","5820907,176","10228994,836","6646,8369999999995","2915,087","309,069","25920,0","314325,371","325670,429","14616,221","931900,904","735569,42","946977,709","739318,344","43333,606","1,0","1,0","1,0","1,0","1,0","4,631666666666667","624222,368","15552000,0","6646,836","50079,042","0,0","314325,366","151972,74","931900,8929999999","599216,0",,"27863,6","0,77775","0,94317","0,65521","0,8985272132859473","0,7554516821590743","0,8985333248086406","0,7554664108626261","0,8975586531635803","0,6577285774176954","0,9340850794753086",,"0,9340850794753086",1,1,1,1,1,1
2022-06-01,BARB,"0,0","1647151,0329999998","1647151,0329999998","1647151,0329999998","164039,879","12630620,0","2921380,0","14940045,0","8081,804","5331,734","804,942","25920,0","382887,984","449621,387","38131,965","2021957,214","1967528,838","2091440,684","2039721,537","201366,901","1,0","1,0","1,0","1,0","1,0","6,399333333333334",,,,,,,,,,,,,,,"0,9855024094456175","0,8707703407276636","0,985508118445771","0,8708232658758379","0,9825362654320988","0,9606510416666667","0,0",,,1,1,1,1,1,1
2022-06-01,BDBS,"-18572,996","1695803,977","1695803,977","1677230,9810000001","151486,109","21124951,53","4795048,47","21359189,560000002","55928,814","71814,804","4996,108","43200,0","248953,304","324280,201","22239,186","1893508,311","1732519,223","1948269,373","1814477,626","169147,237","0,9974000000000001","0,9974000000000001","1,0","0,9960000000000001","0,9960000000000001","4,6694","1700704,788","25920000,0","55943,328","33463,907","0,0","279756,355","163745,311","1924517,815",,,,,,,"0,9848752264112101","0,9106507604149042","0,9849005916117478","0,9107330842035035","0,9846876658950617","0,8240428070987655","0,9836022226613966",,"0,9836022226613966",1,1,1,1,1,1
2022-06-01,BOUS,"226,767","402436,09400000004","402436,09400000004","402662,861","59194,284","4219831,83","6148168,17","7508521,7","4782,445","8659,751","526,066","17280,0","324638,07","371491,846","35710,2","722291,7609999999","469501,564","765268,1880000001","500616,93999999994","94378,427","1,0","1,0","1,0","1,0","1,0","4,7204999999999995","402436,09400000004","10368000,0","4782,438","242625,712","0,0","324638,082","17442,149","722291,739",,,,,,,"0,6157210715995206","0,6041533916028335","0,6189185245129248","0,6074470834138556","0,7249122444058642","0,7242015528549383","0,7331674658908508",,"0,7331674658908508",1,1,1,1,1,1
