date,project,act_energy_consumption,act_energy_generation,act_energy_iec,act_energy,act_prod_iec_revenue,duration_full_perf,duration_no_full_perf,duration_running,gained_energy_iec_consolidated,gained_energy_iec_PC,gained_prod_iec_revenue,line_count,lost_energy_iec_consolidated,lost_energy_iec_PC,lost_prod_iec_revenue,pot_energy_iec_consolidated,pot_energy_iec_consolidated_when_avail,pot_energy_PC,pot_energy_PC_when_avail,pot_prod_iec_revenue,rr_act_power_iec_pot_power_iec_consolidated,rr_act_power_iec,rr_pot_power_iec_consolidated,rr_wind_speed_act_power_iec,rr_wind_speed,wind_speed_avg,monthly_asset_act_energy_iec_not_excluded,monthly_asset_duration,monthly_asset_gained_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_contractor,monthly_asset_lost_energy_iec_consolidated_excluded,monthly_asset_lost_energy_iec_consolidated_not_excluded,monthly_asset_lost_energy_iec_consolidated_owner,monthly_asset_pot_energy_iec_consolidated_not_excluded,act_energy_windga,wind_speed_avg_windga,act_prod_iec_revenue_windga,pba_owner_windga,monthly_asset_contract_availability_windga,tba_iec_op_windga,pba_edf_om,pba_iec_op,pba_management,pba_owner,tba_iec_om,tba_iec_op,monthly_asset_contract_availability,monthly_asset_contract_pba,monthly_asset_contract_tba,act_energy_coverage,wind_speed_avg_coverage,act_prod_iec_revenue_coverage,pba_owner_coverage,monthly_asset_contract_availability_coverage,tba_iec_op_coverage
2023-01-01,ALLA,"-13756,069","3262782,621","3262782,621","3249026,552","316620,475","6917233,1","3796366,9","8049447,1","156707,978","60497,344","15206,93","17856,0","452384,606","561923,0179999999","43899,445999999996","3558459,242","3266447,504","3764208,292","3461625,998","345312,988","1,0","1,0","1,0","1,0","1,0","8,9815","3262782,621","10713600,0","156707,963","2214,148","0,0","452384,537","390256,184","3558459,196",,,,,,,"0,9998399777347465","0,8926251579895652","0,9998399825762512","0,8926284029529151","0,9982734141651733","0,7513298144414575","0,9995279120832268",,"0,9995279120832268",1,1,1,1,1,1
2023-01-01,ALVI,"-1722,8960000000002","5806094,944","5806094,944","5804372,048","520399,462","11400346,26","1991653,74","12854954,5","161777,655","103301,631","14500,252","22320,0","594859,925","662682,4650000001","53317,321","6239320,15","6115296,1","6365475,77","6279922,579","559229,347","1,0","1,0","1,0","0,9997999999999999","0,9997999999999999","8,3896","5806216,456","13392000,0","161777,658","24518,575","0,0","594881,372","489129,262","6239320,168",,,,,,,"0,9960626857428028","0,9187233032250826","0,9960660625744839","0,9187279803701853","0,9935510969235364","0,9598980361409797","0,9954554551228428",,"0,9954554551228428",1,1,1,1,1,1
2023-01-01,AMEL,"311,255","3513828,689","3513828,689","3514139,944","386521,119","11474608,96","1917391,04","13199961,97","217549,451","67378,652","23930,466","22320,0","154366,803","282790,106","16980,383","3450646,042","3363001,182","3729240,1429999997","3638612,81","379571,039","1,0","1,0","1,0","1,0","1,0","8,0128","3513828,689","13392000,0","217549,44400000002","44340,891","0,0","154366,809","68518,865","3450646,0549999997",,,,,,,"0,9940014040310222","0,9688555059936645","0,9940062706169679","0,9688807731324415","0,9970112768817204","0,9856602426821984","0,9967735714165274",,"0,9967735714165274",1,1,1,1,1,1
2023-01-01,ANPA,"7251,456","3565593,039","3565593,039","3572844,495","256722,777","8048096,52","2665503,48","9037395,879999999","371882,376","490002,853","26775,540999999997","17856,0","341097,052","236301,72699999998","24558,947","3548372,109","3248900,999","3311891,912","3093333,932","255482,817","0,998","0,998","1,0","0,998","0,998","6,132","3579157,431","10713600,0","371882,38399999996","23165,982","0,0","341097,03","276305,103","3548372,075",,,,,,,"0,9904027098763418","0,9222204778564712","0,9900108322850605","0,9227894326991185","0,9933012171445639","0,8435442689665471","0,9941842236731464",,"0,9941842236731464",1,1,1,1,1,1
2023-01-01,AUCO,"-553,402","3059006,161","3059006,161","3058452,759","162126,90899999999","15725190,529","345209,471","15780267,725","121562,80900000001","138174,09399999998","6442,876","26784,0","89963,645","145704,097","4768,0830000000005","3052103,593","2986714,622","3066536,177","3012060,8619999997","161761,046","0,9965","0,9965","1,0","0,9948333333333333","0,9948333333333333","8,030833333333334","3083584,795","16070400,0","121562,75099999999","24327,748","0,0","90081,551","42743,923","3052103,6100000003",,,,,,,"0,9924802606180224","0,9785436236722933","0,9925018606736133","0,9787484832775499","0,9943135781934488","0,9819461696659697","0,9933722159167986",,"0,9933722159167986",1,1,1,1,1,1
2023-01-01,AUM3,"-5238,145","3942012,1","3942012,1","3936773,955","379615,771","16948178,88","1800621,12","18596034,12","74333,467","78658,673","7158,3","31248,0","154715,136","174663,203","14899,072","4022393,7970000003","3983476,649","4038016,622","3998255,787","387356,58900000004","1,0","1,0","1,0","1,0","1,0","7,704285714285715","3942012,1","18748800,0","74333,437","17256,591","0,0","154715,172","60744,407999999996","4022393,83",,,,,,,"0,9982022084477258","0,9806146995058461","0,9929832432759658","0,9806186734619322","0,9981414597200888","0,9918519649257553","0,994447826433121",,"0,994447826433121",1,1,1,1,1,1
2023-01-01,AUQB,"-325,582","2549289,508","2549289,508","2548963,926","135111,939","12910049,566","481950,434","13001435,669","205834,475","224077,029","10909,232","22320,0","105556,256","83268,677","5594,524","2449228,7","2354022,337","2408481,157","2332867,19","129808,70999999999","1,0","1,0","1,0","0,9994","0,9994","7,8774","2549469,3559999997","13392000,0","205834,473","62485,079","0,0","105593,83","34542,932","2449228,711",,,,,,,"0,9756639466800973","0,9633339756374595","0,9756782837708176","0,9633508759879366","0,9814232331989247","0,9708359967891278","0,9793812385835604",,"0,9793812385835604",1,1,1,1,1,1
2023-01-01,BAMB,"-1552,344","1762539,407","1762539,407","1760987,063","81958,14","15546246,407","524153,593","15557612,462000001","68857,873","68831,562","3201,8289999999997","26784,0","239875,113","105283,076","11154,203","3408478,663","3219479,797","1798990,926","1749127,7719999999","158493,81900000002","0,652","0,652","1,0","0,632","0,632","6,853166666666667","3232860,278","16070400,0","68857,888","93585,71500000001","0,0","244476,22699999998","95819,003","3408478,622",,,,,,,"0,9714524134677427","0,9029661159968232","0,9721815424215977","0,9441829748495497","0,9804299805854241","0,9680911776931502","0,9806072183019714",,"0,9806072183019714",1,1,1,1,1,1
2023-01-01,BARB,"2,167","1371756,22","1371756,22","1371758,387","145255,356","8808893,0","7261507,0","10567214,0","12508,628","5684,85","1324,61","26784,0","643703,877","627894,958","68161,768","2003353,5","1658277,005","1993966,329","1716062,557","212135,087","1,0","1,0","1,0","0,911","0,911","5,948666666666667",,,,,,,,,,,,,,,"0,996135568877763","0,7070862377499488","0,9508987758139313","0,7071977416852511","0,9928848068498606","0,6575576214655515","0,0",,,1,1,1,1,1,1
2023-01-01,BDBS,"-4189,887","5401898,24","5401898,24","5397708,353","512261,949","17735335,89","9048664,11","25965204,919999998","125912,565","299008,9","11940,225","44640,0","700868,977","556214,2660000001","66463,444","5976854,6280000005","5859030,429","5659103,606","5579443,409","566785,167","1,0","1,0","1,0","0,9865999999999999","0,9865999999999999","7,8728","5401898,24","26784000,0","125912,624","105153,63500000001","0,0","700851,916","500629,889","5976837,532",,,,,,,"0,982517028956621","0,8991431545955485","0,9825204083845898","0,8991626279431923","0,9715011148446834","0,9694296938470728","0,9742968597348222",,"0,9742968597348222",1,1,1,1,1,1
